Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
"C1","1uF","C_0402_1005Metric",-42.755000,-84.925000,180.000000,bottom
"C2","1uF","C_0402_1005Metric",-45.225000,-85.145000,90.000000,bottom
"C3","0.1 uF","C_0402_1005Metric",-53.575000,-70.925000,90.000000,bottom
"C4","1uF","C_0402_1005Metric",-59.700000,-91.050000,90.000000,bottom
"C5","1uF","C_0402_1005Metric",-58.700000,-91.000000,90.000000,bottom
"C6","30pF","C_0402_1005Metric",-52.675000,-101.725000,270.000,bottom
"C7","30pF","C_0402_1005Metric",-50.435000,-104.495000,0.000000,bottom
"C8","100nF","C_0402_1005Metric",-44.175000,-85.145000,90.000000,bottom
"C9","100nF","C_0402_1005Metric",-42.775000,-85.925000,180.000000,bottom
"C10","100nF","C_0402_1005Metric",-41.525000,-92.055000,180.000000,bottom
"C11","100nF","C_0402_1005Metric",-47.375000,-97.305000,270.000,bottom
"C12","100nF","C_0402_1005Metric",-53.095000,-91.805000,0.000000,bottom
"C13","100nF","C_0402_1005Metric",-52.575000,-87.545000,90.000000,bottom
"C14","100nF","C_0402_1005Metric",-47.045000,-83.525000,90.000000,bottom
"C15","100nF","C_0402_1005Metric",-42.775000,-86.925000,180.000000,bottom
"C16","100nF","C_0402_1005Metric",-47.975000,-83.825000,90.000000,bottom
"C17","100nF","C_0402_1005Metric",-46.375000,-97.305000,270.000,bottom
"C18","0.1 uF","C_0402_1005Metric",-27.675000,-100.125000,0.000000,bottom
"D1","D_Small","D_SOD-123",-21.075000,-22.025000,270.000,bottom
"D2","D_Small","D_SOD-123",-56.793750,-22.025000,270.000,bottom
"D3","D_Small","D_SOD-123",-75.843750,-22.025000,270.000,bottom
"D4","D_Small","D_SOD-123",-94.893750,-22.025000,270.000,bottom
"D5","D_Small","D_SOD-123",-113.943750,-22.025000,270.000,bottom
"D6","D_Small","D_SOD-123",-142.518750,-22.025000,270.000,bottom
"D7","D_Small","D_SOD-123",-163.950000,-22.025000,270.000,bottom
"D8","D_Small","D_SOD-123",-183.000000,-22.025000,270.000,bottom
"D9","D_Small","D_SOD-123",-202.050000,-22.025000,270.000,bottom
"D10","D_Small","D_SOD-123",-230.625000,-22.025000,270.000,bottom
"D11","D_Small","D_SOD-123",-249.675000,-22.025000,270.000,bottom
"D12","D_Small","D_SOD-123",-268.725000,-22.025000,270.000,bottom
"D13","D_Small","D_SOD-123",-287.775000,-22.025000,270.000,bottom
"D14","D_Small","D_SOD-123",-21.075000,-41.075000,270.000,bottom
"D15","D_Small","D_SOD-123",-40.125000,-41.075000,270.000,bottom
"D16","D_Small","D_SOD-123",-59.175000,-41.075000,270.000,bottom
"D17","D_Small","D_SOD-123",-78.225000,-41.075000,270.000,bottom
"D18","D_Small","D_SOD-123",-97.275000,-41.075000,270.000,bottom
"D19","D_Small","D_SOD-123",-116.325000,-41.075000,270.000,bottom
"D20","D_Small","D_SOD-123",-135.375000,-41.075000,270.000,bottom
"D21","D_Small","D_SOD-123",-154.425000,-41.075000,270.000,bottom
"D22","D_Small","D_SOD-123",-173.475000,-41.075000,270.000,bottom
"D23","D_Small","D_SOD-123",-192.525000,-41.075000,270.000,bottom
"D24","D_Small","D_SOD-123",-211.575000,-41.075000,270.000,bottom
"D25","D_Small","D_SOD-123",-230.625000,-41.075000,270.000,bottom
"D26","D_Small","D_SOD-123",-249.675000,-41.075000,270.000,bottom
"D27","D_Small","D_SOD-123",-278.250000,-41.075000,270.000,bottom
"D28","D_Small","D_SOD-123",-25.837500,-60.125000,270.000,bottom
"D29","D_Small","D_SOD-123",-49.650000,-60.125000,270.000,bottom
"D30","D_Small","D_SOD-123",-68.700000,-60.125000,270.000,bottom
"D31","D_Small","D_SOD-123",-87.750000,-60.125000,270.000,bottom
"D32","D_Small","D_SOD-123",-106.800000,-60.125000,270.000,bottom
"D33","D_Small","D_SOD-123",-125.850000,-60.125000,270.000,bottom
"D34","D_Small","D_SOD-123",-144.900000,-60.125000,270.000,bottom
"D35","D_Small","D_SOD-123",-163.950000,-60.125000,270.000,bottom
"D36","D_Small","D_SOD-123",-183.000000,-60.125000,270.000,bottom
"D37","D_Small","D_SOD-123",-202.050000,-60.125000,270.000,bottom
"D38","D_Small","D_SOD-123",-221.100000,-60.125000,270.000,bottom
"D39","D_Small","D_SOD-123",-240.150000,-60.125000,270.000,bottom
"D40","D_Small","D_SOD-123",-259.200000,-60.125000,270.000,bottom
"D41","D_Small","D_SOD-123",-283.012500,-60.125000,270.000,bottom
"D42","D_Small","D_SOD-123",-28.218750,-79.175000,270.000,bottom
"D43","D_Small","D_SOD-123",-56.975000,-77.225000,180.000000,bottom
"D44","D_Small","D_SOD-123",-73.462500,-79.175000,270.000,bottom
"D45","D_Small","D_SOD-123",-92.512500,-79.175000,270.000,bottom
"D46","D_Small","D_SOD-123",-111.562500,-79.175000,270.000,bottom
"D47","D_Small","D_SOD-123",-130.612500,-79.175000,270.000,bottom
"D48","D_Small","D_SOD-123",-149.662500,-79.175000,270.000,bottom
"D49","D_Small","D_SOD-123",-168.712500,-79.175000,270.000,bottom
"D50","D_Small","D_SOD-123",-187.762500,-79.175000,270.000,bottom
"D51","D_Small","D_SOD-123",-206.812500,-79.175000,270.000,bottom
"D52","D_Small","D_SOD-123",-225.862500,-79.175000,270.000,bottom
"D53","D_Small","D_SOD-123",-244.912500,-79.175000,270.000,bottom
"D54","D_Small","D_SOD-123",-275.868750,-79.175000,270.000,bottom
"D55","D_Small","D_SOD-123",-32.981250,-98.225000,270.000,bottom
"D56","D_Small","D_SOD-123",-63.937500,-98.225000,270.000,bottom
"D57","D_Small","D_SOD-123",-82.987500,-98.225000,270.000,bottom
"D58","D_Small","D_SOD-123",-102.037500,-98.225000,270.000,bottom
"D59","D_Small","D_SOD-123",-121.087500,-98.225000,270.000,bottom
"D60","D_Small","D_SOD-123",-140.137500,-98.225000,270.000,bottom
"D61","D_Small","D_SOD-123",-159.187500,-98.225000,270.000,bottom
"D62","D_Small","D_SOD-123",-178.237500,-98.225000,270.000,bottom
"D63","D_Small","D_SOD-123",-197.287500,-98.225000,270.000,bottom
"D64","D_Small","D_SOD-123",-216.337500,-98.225000,270.000,bottom
"D65","D_Small","D_SOD-123",-235.387500,-98.225000,270.000,bottom
"D66","D_Small","D_SOD-123",-268.725000,-98.225000,270.000,bottom
"D67","D_Small","D_SOD-123",-21.075000,-117.275000,270.000,bottom
"D68","D_Small","D_SOD-123",-40.125000,-117.275000,270.000,bottom
"D69","D_Small","D_SOD-123",-59.175000,-117.275000,270.000,bottom
"D70","D_Small","D_SOD-123",-80.606250,-117.275000,270.000,bottom
"D71","D_Small","D_SOD-123",-152.043750,-117.275000,270.000,bottom
"D72","D_Small","D_SOD-123",-223.481250,-117.275000,270.000,bottom
"D73","D_Small","D_SOD-123",-249.675000,-117.275000,270.000,bottom
"D74","D_Small","D_SOD-123",-268.725000,-117.275000,270.000,bottom
"D75","D_Small","D_SOD-123",-287.775000,-117.275000,270.000,bottom
"D76","Schottky 5819W","D_SOD-123",-51.675000,-26.675000,90.000000,bottom
"D77","Power LED (Green)","LED_0805_2012Metric",-58.550000,-88.975000,180.000000,bottom
"F1","TLC_PSMD050","Fuse_0805_2012Metric",-51.725000,-30.875000,270.000,bottom
"FB1","100@100MHz","L_0805_2012Metric",-61.712500,-92.725000,270.000,bottom
"R1","27 ohm","R_0603_1608Metric",-46.775000,-81.050000,90.000000,bottom
"R2","27 ohm","R_0603_1608Metric",-45.175000,-81.050000,90.000000,bottom
"R3","1k ohm","R_0402_1005Metric",-48.175000,-101.935000,90.000000,bottom
"R4","10k ohm","R_0402_1005Metric",-55.075000,-73.515000,270.000,bottom
"R5","1k ohm","R_0402_1005Metric",-55.575000,-75.425000,0.000000,bottom
"R6","5.1k","R_0402_1005Metric",-48.075000,-26.525000,0.000000,bottom
"R7","5.1k","R_0402_1005Metric",-39.675000,-26.725000,180.000000,bottom
"R8","10k ohm","R_0402_1005Metric",-26.075000,-96.425000,90.000000,bottom
"R9","1k5 ohm","R_0402_1005Metric",-57.625000,-90.975000,90.000000,bottom
"U1","RP2040","rp2040",-47.375000,-90.825000,180.000000,bottom
"U2","TYPE-C-31-M-12","simple-usb-c",-45.243750,-19.793750,0.000000,bottom
"U3","XC6206PxxxMR","SOT-23",-58.775000,-93.725000,0.000000,bottom
"U4","W25Q128JVS","SOIC-8_5.23x5.23mm_P1.27mm",-51.675000,-76.925000,90.000000,bottom
"U5","USB Boot","tactile-switch",-60.374975,-72.275394,180.000000,bottom
"U6","Reset","tactile-switch",-27.475000,-105.125000,90.000000,bottom
"Y1","12MHz - 20pF","Crystal_SMD_3225-4Pin_3.2x2.5mm",-50.475000,-101.825000,270.000,bottom
